ID,Name,Status,Archived,Created,Updated,Trigger Type,Actions,Emails,SMS,Delays,Tags
RYiUmp,VMPA Impulse! Post Purchase - Welcome Email,manual,False,2023-07-12T19:00:01+00:00,2023-07-12T19:00:54+00:00,Metric,1,1,0,0,anthology
RYvML6,Teen Daze Post Purchase - Download Codes,manual,False,2022-02-17T22:41:13+00:00,2022-02-17T22:44:51+00:00,Metric,2,1,0,1,anthology
RddViQ,Black Crow - Predictive Cross Sell,live,False,2024-10-09T17:48:56+00:00,2024-10-09T18:00:18+00:00,Metric,4,2,0,2,BC Cross Sell
RdnX5D,Pearl Jam Order Update,manual,False,2023-08-07T17:24:16+00:00,2023-08-07T17:24:30+00:00,Added to List,2,1,0,1,
Re4EsJ,Herbie Hancock Purchase Welcome Email - product trigger,manual,False,2021-11-11T15:56:30+00:00,2021-11-11T15:58:19+00:00,Metric,2,1,0,1,"anthology, grateful dead"
RhwT3N,Abandoned Checkout Flow (Updated: 2024),manual,False,2024-01-11T15:59:08+00:00,2024-04-19T17:55:38+00:00,Metric,17,6,1,3,
Rk58Dh,RB 2024 Member Welcome Series -shopify tag trigger,live,False,2024-04-09T14:37:25+00:00,2024-09-04T18:14:18+00:00,Added to List,7,4,0,3,
RrJ38E,RB Browse Abandonment Flow [4/2024],live,False,2024-04-23T17:21:50+00:00,2024-08-16T13:38:09+00:00,Metric,7,3,0,3,BAU Browse
RwMz4z,*new* PLANT UPDATE - Dizzy Gillespie Afro - Individual [5.2024] (clone),manual,False,2024-05-10T22:10:14+00:00,2024-05-10T22:10:15+00:00,Added to List,1,1,0,0,shipping update
RwiCYf,RB Abandoned Checkout,live,False,2024-01-02T22:56:58+00:00,2024-08-16T13:37:18+00:00,Metric,12,6,0,3,BAU Checkout
RxC58n,*new* PLANT UPDATE - Sublime S/T [5.2024] (clone),manual,False,2024-05-10T22:08:29+00:00,2024-05-10T22:08:55+00:00,Added to List,2,1,0,1,shipping update
RyVhWn,"Vinyl Me, Parton Retirement",manual,False,2024-03-26T20:13:41+00:00,2024-03-26T20:14:16+00:00,Added to List,3,2,0,1,
S2d782,*new* PLANT UPDATE - Sublime 40oz To Freedom [5.2024] (clone),manual,False,2024-05-10T22:06:59+00:00,2024-05-10T22:06:59+00:00,Added to List,2,1,0,1,shipping update
S9HDB4,New Template - Gatsby - Flow 11 - Ongoing TikTok Mentions (clone),draft,False,2024-02-26T19:55:37+00:00,2024-02-26T19:55:38+00:00,Metric,2,1,1,0,
SD7Mhe,Black Crow - Predictive Subscribe,draft,False,2024-10-09T17:49:17+00:00,2024-10-09T18:03:28+00:00,Metric,4,2,0,2,BC Subscribe
SLGUim,*new* PLANT UPDATE - Beastie Boys Check Your Head [5.2024] (clone),manual,False,2024-05-10T22:04:56+00:00,2024-05-10T22:04:57+00:00,Added to List,2,1,0,1,shipping update
SMzKKh,Dolly Parton Jolene Order Update [7.2024],manual,False,2024-07-02T15:40:23+00:00,2024-07-02T15:40:25+00:00,Added to List,2,1,0,1,shipping update
STUb4z,8/28/24 Essentials Swap (Ramones),draft,False,2024-08-28T16:41:31+00:00,2024-08-28T16:43:50+00:00,Added to List,2,1,0,1,
SVeP8A,RB Abandoned Checkout (Black Crow Smart ID),live,False,2024-08-16T13:36:56+00:00,2024-08-16T13:39:28+00:00,Metric,12,6,0,3,BC Checkout
SVqbnG,RB Sunset Unengaged Subscribers - Standard,live,False,2024-04-26T15:01:06+00:00,2024-04-26T15:01:09+00:00,Added to List,8,2,0,3,
SWkLDw,2023 Welcome Series - Email Only Signup (08.2023),manual,False,2023-08-22T20:49:26+00:00,2024-03-21T20:24:52+00:00,Added to List,11,4,0,3,
SYzPrr,Impulse! Missing Socks,live,False,2024-08-26T16:39:26+00:00,2024-08-26T16:39:27+00:00,Added to List,2,1,0,1,shipping update
Sacmnu,*OVERLAPS* PLANT UPDATE - Willie Colon [5.2024] (clone) (clone) (clone),manual,False,2024-05-11T00:03:06+00:00,2024-05-11T00:03:07+00:00,Added to List,2,1,0,1,shipping update
SdpqMt,ODB Order Update [7.2024],manual,False,2024-07-17T14:39:37+00:00,2024-07-17T14:39:38+00:00,Added to List,2,1,0,1,shipping update
SiBA4p,VMPA Willie Nelson Post Purchase - Welcome Email,manual,False,2022-03-21T18:07:43+00:00,2022-11-14T20:53:51+00:00,Metric,8,4,0,4,anthology
SmuwQh,Renewals - $50 Coupon,draft,False,2024-10-29T18:38:31+00:00,2024-10-29T18:38:31+00:00,Unconfigured,0,0,0,0,"renewals, retention"
SnvqJb,"RB - 2024 Welcome Series - All Signups [15% off, 07.2024] (Black Crow Predictive Offer)",live,False,2024-08-19T14:24:09+00:00,2024-08-19T14:25:46+00:00,Added to List,14,6,0,4,BC Welcome
StnQ8U,Ben Folds Order Update [6.2024],manual,False,2024-06-05T17:55:24+00:00,2024-06-05T17:55:25+00:00,Added to List,2,1,0,1,shipping update
T2ZDVH,New Template - Gatsby - Flow 1 - Follow on IG (clone),draft,False,2024-02-22T21:02:02+00:00,2024-02-22T21:02:03+00:00,Added to List,2,1,1,0,
T2mEDu,Cancelled Members Winback 4/2024,live,False,2024-04-18T20:32:48+00:00,2024-09-09T14:46:11+00:00,Added to List,7,3,0,3,
T9utbU,VMPA Vanguard Post Purchase - Welcome Email,manual,False,2021-08-02T13:08:39+00:00,2022-11-14T21:00:38+00:00,Metric,10,5,0,5,anthology
TAzWhE,New Template - Gatsby - Flow 5 - TikTok Mention (clone),draft,False,2024-02-22T21:03:20+00:00,2024-02-22T21:03:21+00:00,Added to List,4,1,1,1,
TL3W4z,Abandoned Cart,manual,False,2024-07-01T01:53:22+00:00,2024-07-01T01:53:25+00:00,Metric,4,2,0,2,
TS2Bv9,PLANT UPDATE - Dizzy Gillespie Afro - Individual [5.2024],manual,False,2024-05-09T17:51:54+00:00,2024-05-09T17:51:55+00:00,Added to List,1,1,0,0,shipping update
Tghzbh,PLANT UPDATE - Willie Colon [5.2024],draft,False,2024-05-09T17:03:40+00:00,2024-05-09T17:04:02+00:00,Added to List,2,1,0,1,shipping update
Tn8ADx,FOR THE LOVE TDS,manual,False,2023-03-17T13:16:18+00:00,2023-03-17T13:17:34+00:00,Added to List,1,1,0,0,
Tr9yhR,Dolly Parton Jolene - BIS [2.1.2024],manual,False,2024-02-01T15:29:03+00:00,2024-02-01T15:29:04+00:00,Added to List,2,1,0,1,shipping update
TrANgb,VMPA Memphis Rap - Post Purchase - Welcome Email,live,False,2023-10-23T18:20:42+00:00,2023-10-23T22:35:20+00:00,Metric,2,1,0,1,anthology
Trp5EW,Kacey Muscgraves Order Update [10.2023],manual,False,2023-10-18T21:09:37+00:00,2023-10-29T15:44:01+00:00,Added to List,2,1,0,1,shipping update
TuPiqN,Sly and Family Stone Order Update [1.2024],manual,False,2024-01-24T16:07:02+00:00,2024-01-24T16:07:03+00:00,Added to List,2,1,0,1,shipping update
TxbAqt,Stax Anthology Purchase Welcome Email,manual,False,2021-11-11T15:01:48+00:00,2021-11-17T20:18:03+00:00,Metric,2,1,0,1,"anthology, stax"
U5HQ9e,Diary of Alicia Keys Order Update [4.2024],manual,False,2024-04-04T19:28:14+00:00,2024-04-04T19:28:15+00:00,Added to List,2,1,0,1,shipping update
U7ZRiu,TLC FanMail Order Update [7.2024],manual,False,2024-07-02T15:42:02+00:00,2024-07-02T15:42:03+00:00,Added to List,2,1,0,1,shipping update
UABRJE,RB Abandoned Membership Cart,live,False,2024-04-25T18:38:31+00:00,2024-09-04T18:13:43+00:00,Metric,8,2,0,3,
UDkwFB,New Template - Gatsby - Flow 8 - Instagram Reel Reward (clone),draft,False,2024-02-22T21:03:51+00:00,2024-02-22T21:03:52+00:00,Metric,2,1,1,0,
ULcgfD,Customer Thank You,manual,False,2024-07-01T01:53:32+00:00,2024-07-01T01:53:35+00:00,Metric,4,2,0,1,
USSinG,Customer Thank You - New,live,False,2024-05-03T20:21:56+00:00,2024-05-06T18:09:01+00:00,Metric,2,1,0,1,
UTjNPm,*OVERLAPS* PLANT UPDATE - Sublime [5.2024] (clone) (clone) (clone) (clone),manual,False,2024-05-11T00:05:15+00:00,2024-05-11T00:05:17+00:00,Added to List,2,1,0,1,shipping update
UWUSXF,Abandoned Membership Cart,manual,False,2022-07-12T13:12:32+00:00,2024-02-20T20:52:11+00:00,Metric,9,3,0,3,
UehTBV,VMPA Quincy Jones Post Purchase - Welcome Email,manual,False,2021-10-12T13:46:12+00:00,2022-01-26T18:40:18+00:00,Metric,10,5,0,5,anthology
Uj9y2P,Comedy Store Interest List - submitted,manual,False,2022-07-22T18:39:15+00:00,2022-07-25T14:37:18+00:00,Metric,1,1,0,0,
UkGnTn,Black Sabbath Order Update [6.2024],manual,False,2024-06-27T17:55:31+00:00,2024-06-27T17:55:32+00:00,Added to List,2,1,0,1,shipping update
UkQnTG,Customer Thank You - Returning,live,False,2024-05-06T18:13:44+00:00,2024-05-06T18:14:37+00:00,Metric,4,2,0,1,
UmxgAu,*OVERLAPS* PLANT UPDATE - Spiritualized [5.2024] (clone) (clone) (clone) (clone) (clone),manual,False,2024-05-11T00:06:19+00:00,2024-05-11T00:06:20+00:00,Added to List,2,1,0,1,shipping update
UqhfHe,New Template - Gatsby - Flow 2 - Instagram Story (clone),draft,False,2024-02-22T21:02:18+00:00,2024-02-22T21:02:20+00:00,Added to List,5,2,2,0,
UsGBQ9,RB - 2024 Welcome Series - All Signups [04.2024],manual,False,2024-03-28T17:26:55+00:00,2024-04-17T21:30:56+00:00,Added to List,14,6,0,4,
Uy4ECT,Impulse! Now shipping - Address Update,live,False,2024-08-16T19:57:14+00:00,2024-08-16T19:57:15+00:00,Added to List,2,1,0,1,shipping update
VRdBQQ,VMPA Zamrock Repress Post Purchase Flow,manual,False,2022-04-26T16:53:18+00:00,2022-04-26T16:56:43+00:00,Metric,4,2,0,2,anthology
VVbcuh,VMPA Comedy Store Post Purchase - Welcome Email,manual,False,2022-10-11T14:57:49+00:00,2022-10-11T14:58:52+00:00,Metric,2,1,0,1,anthology
VYAfBF,Dolly Welcome Series,manual,False,2023-02-08T10:12:49+00:00,2023-02-08T10:13:18+00:00,Added to List,2,1,0,1,
VZhTsx,*OVERLAPS* PLANT UPDATE - dizzy [5.2024] (clone) (clone) (clone) (clone) (clone),manual,False,2024-05-11T00:07:19+00:00,2024-05-11T00:07:20+00:00,Added to List,2,1,0,1,shipping update
VaxNS8,New Template - Gatsby - Flow 3 - Story Reward (clone),draft,False,2024-02-22T21:02:33+00:00,2024-02-22T21:02:34+00:00,Metric,3,1,1,0,
VdV4uk,*new* [JUNIP] Product Review Request Campaign,draft,False,2025-01-06T20:18:32+00:00,2025-01-06T20:18:36+00:00,Metric,7,3,0,2,product-review
Vma7jB,VMPA Def Jam - Post Purchase - Welcome Email,live,False,2024-06-20T15:48:16+00:00,2024-06-20T15:49:19+00:00,Metric,2,1,0,1,anthology
Vms93z,New Template - Gatsby - Flow 6 - TikTok Reward (clone),draft,False,2024-02-26T19:55:24+00:00,2024-02-26T19:55:25+00:00,Metric,2,1,1,0,
Vtkx2Y,NEW TDS Welcome Flow 6/2024,live,False,2024-07-01T14:57:15+00:00,2024-07-01T15:04:43+00:00,Added to List,11,5,0,4,
Vxqhe6,"RB - 2024 Welcome Series - All Signups [15% off, 07.2024]",live,False,2024-07-10T15:59:37+00:00,2024-08-19T14:24:53+00:00,Added to List,14,6,0,4,BAU Welcome
W5Yk3M,VMPA Waylon Jennings Post Purchase - Welcome Email (clone),live,False,2023-06-12T20:13:22+00:00,2023-06-12T20:14:56+00:00,Metric,1,1,0,0,anthology
W9HY98,Set Email Interests Property,live,False,2021-07-20T13:29:49+00:00,2021-07-20T13:58:25+00:00,Added to List,1,0,0,0,
WEGKRm,Spiritual Jazz Order Update [11.2023],manual,False,2023-11-30T17:26:28+00:00,2023-11-30T17:26:29+00:00,Added to List,2,1,0,1,shipping update
WTeHwd,*new* PLANT UPDATE - Willie Colon [5.2024] (clone),manual,False,2024-05-10T22:11:48+00:00,2024-05-10T22:11:49+00:00,Added to List,2,1,0,1,shipping update
WUcke9,Women of Motown Anthology Purchase Welcome Email,manual,False,2021-11-11T15:58:45+00:00,2021-11-17T20:18:48+00:00,Metric,2,1,0,1,"anthology, women of motown"
WZNgqj,RB Monthly Member - Renew Subscription Reminder,draft,False,2024-06-07T16:53:35+00:00,2024-06-25T18:44:55+00:00,Metric,6,2,0,2,
WnDLfY,2023 Welcome Series - LeadAds (08.2023) (TDS WORK AROUND LIST),draft,False,2023-09-11T13:56:13+00:00,2023-10-09T17:48:36+00:00,Added to List,6,3,0,3,
WtYTqJ,Welcome Series,manual,False,2024-07-01T01:53:36+00:00,2024-07-01T01:53:41+00:00,Unconfigured,5,3,0,2,
WunEnX,New Template - Gatsby - Flow 10 - Ongoing Instagram Mentions (clone),draft,False,2024-02-22T21:04:16+00:00,2024-02-22T21:04:17+00:00,Metric,2,1,1,0,
X3zZN5,Impulse! Now shipping - Address Update (clone),live,False,2024-08-19T16:19:08+00:00,2024-08-19T16:19:09+00:00,Added to List,2,1,0,1,shipping update
X7NAGv,Grateful Dead Order Update [12.2023],manual,False,2023-12-20T19:44:55+00:00,2023-12-20T19:45:12+00:00,Added to List,2,1,0,1,shipping update
XKT4qY,VMPA Ghetto Records Post Purchase - Welcome Email,manual,False,2022-07-08T15:18:39+00:00,2022-07-08T15:22:14+00:00,Metric,4,2,0,2,anthology
XNEeZn,Product Review / Cross Sell,manual,False,2024-07-01T01:53:30+00:00,2024-07-01T01:53:31+00:00,Metric,2,1,0,1,
XQT3AU,*new* PLANT UPDATE - Spiritualized Ladies and Gentlemen.. [5.2024] (clone),manual,False,2024-05-10T21:55:33+00:00,2024-05-10T21:55:34+00:00,Added to List,2,1,0,1,shipping update
XQs47B,Country Track Email Subscribers V2,manual,False,2020-12-07T21:17:20+00:00,2020-12-07T21:17:20+00:00,Added to List,3,1,0,1,
XYM48d,VMPA Grateful Dead (2nd Edition) Post Purchase Welcome Email,live,False,2023-05-18T18:46:53+00:00,2023-05-18T18:53:50+00:00,Metric,2,1,0,1,anthology
XYiwEp,New Template - Gatsby - Flow 9 - Referral Reward (clone),draft,False,2024-02-22T21:04:06+00:00,2024-02-22T21:04:07+00:00,Added to List,3,1,1,0,
XYmshn,RB Browse Abandonment Flow [4/2024] (Black Crow Smart ID),live,False,2024-08-16T13:39:56+00:00,2024-08-16T13:40:50+00:00,Metric,4,2,0,2,BC Browse
Xc6FYC,Story of Impulse Records Order Update [6.2024],manual,False,2024-06-05T17:40:46+00:00,2024-06-05T17:40:47+00:00,Added to List,2,1,0,1,shipping update
XdCzmZ,Added to Cart Cart Reminder,manual,False,2024-06-24T15:59:47+00:00,2024-06-24T15:59:50+00:00,Metric,6,2,1,2,
Xe3Xvv,New Template - Gatsby - Flow 7 - Instagram Post or Reel (clone),draft,False,2024-02-22T21:03:44+00:00,2024-02-22T21:03:45+00:00,Added to List,3,1,1,0,
Xi9XNn,VMPA Cadet Records Post Purchase - Welcome Email,manual,False,2022-11-28T14:00:32+00:00,2022-11-28T14:01:37+00:00,Metric,2,1,0,1,anthology
XjmdYr,The Story of Impulse Order Update [12.2023],manual,False,2023-12-22T18:44:47+00:00,2023-12-22T18:44:49+00:00,Added to List,2,1,0,1,shipping update
Y85Pb6,Tribe Post Purchase - Welcome Email,manual,False,2020-11-23T20:30:03+00:00,2021-05-03T17:38:31+00:00,Metric,2,1,0,1,anthology
YAVNiM,Browse Abandonment,manual,False,2024-07-01T01:53:19+00:00,2024-07-01T01:53:21+00:00,Metric,2,1,0,1,
YkfPZ6,Ecomm Customer Winback 2,draft,False,2024-06-12T17:32:41+00:00,2024-06-12T17:32:50+00:00,Metric,25,8,0,8,
YwVdai,PLANT UPDATE - Sublime S/T [5.2024],draft,False,2024-05-09T17:14:59+00:00,2024-05-09T17:15:14+00:00,Added to List,2,1,0,1,shipping update
